wkt_geom	Entity	Layer	Color	Linetype	Elevation	ORIG_FID	x	y
PointZ (392379.20020000002114102 283118.07809999998426065 2.07829225878829593)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392379.2002	283118.0781
PointZ (392392.93079999997280538 283110.18050000001676381 2.06494395672347641)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392392.9308	283110.1805
PointZ (392343.83309999998891726 283138.79499999998370185 2.131685467047574)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392343.8331	283138.795
PointZ (392364.88349999999627471 283126.53669999999692664 2.07829225878829593)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392364.8835	283126.5367
PointZ (392343.42519999999785796 283139.39459999999962747 2.15838207117721304)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392343.4252	283139.3946
PointZ (392343.57770000002346933 283139.09710000001359731 2.131685467047574)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392343.5777	283139.0971
PointZ (392343.4173999999766238 283140.11440000002039596 2.14503376911239352)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392343.4174	283140.1144
PointZ (392343.3603000000002794 283139.81020000000717118 2.15838207117721304)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392343.3603	283139.8102
PointZ (392343.97560000000521541 283140.90230000001611188 2.14503376911239352)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392343.9756	283140.9023
PointZ (392343.66149999998742715 283140.60739999997895211 2.131685467047574)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392343.6615	283140.6074
PointZ (392344.62140000000363216 283141.10029999999096617 2.131685467047574)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392344.6214	283141.1003
PointZ (392344.25329999998211861 283141.0470000000204891 2.14503376911239352)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392344.2533	283141.047
PointZ (392345.13130000000819564 283141.03409999998984858 2.17173037324203255)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392345.1313	283141.0341
PointZ (392344.91399999998975545 283141.07490000000689179 2.14503376911239352)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392344.914	283141.0749
PointZ (392362.07419999997364357 283131.18810000002849847 2.07829225878829593)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392362.0742	283131.1881
PointZ (392346.49139999999897555 283140.26699999999254942 2.09164056085311545)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392346.4914	283140.267
PointZ (392498.28139999997802079 283051.60550000000512227 1.75793300923263018)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392498.2814	283051.6055
PointZ (392394.23300000000745058 283112.42349999997531995 2.0515956546586569)	3DPolyline	도로경계	6	HIDDEN2	2.05159565466	522	392394.233	283112.4235
PointZ (392512.56630000000586733 283043.12329999997746199 1.74458470716781089)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392512.5663	283043.1233
PointZ (392512.17700000002514571 283043.50919999997131526 1.73123640510299159)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392512.177	283043.5092
PointZ (392512.75050000002374873 283042.12160000001313165 1.74458470716781089)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392512.7505	283042.1216
PointZ (392512.76120000000810251 283042.61989999999059364 1.74458470716781089)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392512.7612	283042.6199
PointZ (392512.31119999999646097 283041.38059999997494742 1.74458470716781089)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392512.3112	283041.3806
PointZ (392512.62160000001313165 283041.71500000002561137 1.74458470716781089)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392512.6216	283041.715
PointZ (392511.530399999988731 283041.10029999999096617 1.74458470716781089)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392511.5304	283041.1003
PointZ (392511.92639999999664724 283041.18900000001303852 1.74458470716781089)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392511.9264	283041.189
PointZ (392510.91399999998975545 283041.20659999997587875 1.74458470716781089)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392510.914	283041.2066
PointZ (392511.22600000002421439 283041.12180000002263114 1.74458470716781089)	3DPolyline	도로경계	6	HIDDEN2	1.75793300923	523	392511.226	283041.1218
